	nombre	descriptivo	principal
565	viaje_combinado	1.0	0.0
566	vicio_del_consentimiento	1.0	1.0
567	vicio_oculto	1.0	1.0
568	vigilancia_aduanera	1.0	0.0
569	delito_de_descubrimiento_y_revelacion_de_secretos	1.0	1.0
570	violencia_de_genero	1.0	1.0
571	votacion_por_correo	1.0	0.0
572	vivienda_de_proteccion_oficial	1.0	1.0
573	warrant	1.0	0.0
574	elevacion	0.0	0.0
575	calibracion	1.0	0.0
576	remuneracion	1.0	0.0
577	expediente_de_regulacion_de_empleo	1.0	1.0
578	ayuntamiento	0.0	0.0
579	recurso_de_amparo	0.0	0.0
580	consignacion	1.0	0.0
581	medicina_forense	1.0	0.0
582	expulsion	1.0	0.0
583	abogado	1.0	0.0
584	donacion	1.0	1.0
585	accidente_laboral	1.0	1.0
586	transcripcion	1.0	0.0
587	reforma	0.0	0.0
588	españa	0.0	0.0
589	responsabilidad	0.0	0.0
590	juicio_oral	0.0	0.0
591	clausula_suelo	1.0	1.0
592	santiago_de_compostela	0.0	0.0
593	desahucio	1.0	1.0
594	cosa_juzgada	1.0	0.0
595	opcion_de_compra	1.0	1.0
596	prestamo_hipotecario	1.0	1.0
597	prision_provisional	1.0	1.0
598	centro_de_trabajo	1.0	0.0
599	cuarta_viudal	1.0	0.0
600	salarios_de_tramitacion	1.0	1.0
601	vehiculo	1.0	0.0
602	guardia_civil	1.0	0.0
603	falta_grave	1.0	1.0
604	falta_leve	1.0	1.0
605	bbva	0.0	0.0
606	sentencia_del_tribunal_supremo	0.0	0.0
607	cataluña	0.0	0.0
608	lerida	0.0	0.0
609	orense	0.0	0.0
610	gerona	0.0	0.0
611	san_sebastian	0.0	0.0
612	gipuzkoa	0.0	0.0
613	pais_vasco	0.0	0.0
614	lucro_cesante	1.0	1.0
615	ertzaintza	1.0	0.0
616	ministerio_del_interior	0.0	0.0
617	propiedad_horizontal	1.0	1.0
618	hoja_de_reclamacion	1.0	0.0
619	castilla_y_leon	0.0	0.0
620	castilla_la_mancha	0.0	0.0
621	ley_organica	0.0	0.0
622	real_decreto	0.0	0.0
623	real_decreto_legislativo	0.0	0.0
624	real_decreto_ley	0.0	0.0
625	tasa_judicial	1.0	0.0
626	araba	0.0	0.0
627	pamplona	0.0	0.0
628	actividades_de_camping	1.0	0.0
629	vizcaya	0.0	0.0
630	movilidad_geografica	1.0	1.0
631	castellon	0.0	0.0
632	fuero_de_baylio	1.0	0.0
633	procurador	0.0	0.0
634	islas_canarias	0.0	0.0
635	etileno	1.0	0.0
636	dia_festivo	1.0	0.0
637	tribunal_de_cuentas	0.0	0.0
638	ley_general_tributaria	0.0	0.0
639	mutualidad	1.0	0.0
640	factura_pro_forma	1.0	0.0
641	bilbao	0.0	0.0
642	psicopedagogia	1.0	0.0
643	zona_especial_canaria	1.0	0.0
644	actor_de_cine	1.0	0.0
645	in_itinere	1.0	0.0
646	pierna	1.0	0.0
647	sociedad_mercantil	1.0	0.0
648	convenio_colectivo	0.0	0.0
649	idoneidad	1.0	0.0
650	articulo	0.0	0.0
651	noventa_dias	0.0	0.0
652	treinta_dias	0.0	0.0
653	sesenta_dias	0.0	0.0
654	comunidad_de_madrid	0.0	0.0
655	falta_de_voluntad	1.0	0.0
656	hecho_imponible	1.0	0.0
657	recurso_de_incostitucionalidad	0.0	0.0
658	impuesto_especial	1.0	1.0
659	orden_ministerial	0.0	0.0
660	disposicion_adicional	0.0	0.0
661	estatuto_de_autonomia	0.0	0.0
662	proyecto_de_ley	0.0	0.0
663	comunidad_autonoma	0.0	0.0
664	abogado_del_estado	1.0	0.0
665	menor_de_edad	1.0	0.0
666	audiencia_provincial	0.0	0.0
667	funcion_social	1.0	0.0
668	perjuicio_economico	1.0	0.0
669	euro	0.0	0.0
670	inmediatez	1.0	0.0
671	mercado_laboral	1.0	0.0
672	responsabilidad_penal	1.0	0.0
673	ministerio_fiscal	0.0	0.0
674	administracion_de_justicia	0.0	0.0
675	inevitabilidad	1.0	0.0
676	legal	0.0	0.0
677	partido_politico	1.0	0.0
678	organizacion_terrorista	1.0	0.0
679	euskadi_ta_askatasuna	0.0	0.0
680	juzgado_central_de_instruccion	0.0	0.0
681	abertzale	0.0	0.0
682	movimiento_de_liberacion_nacional_vasco	0.0	0.0
683	psoe	0.0	0.0
684	partido_polupar	0.0	0.0
685	ipc	1.0	0.0
686	junta_electoral	1.0	0.0
687	mesa_electoral	1.0	0.0
688	medio_de_prueba	1.0	0.0
689	recurso_de_suplicacion	0.0	0.0
